Electronic Collection Public Name,MMS Id,Title,Portfolio Id,Electronic Collection Id
Elsevier ScienceDirect Journals,99116698712105516,Seminars in colon & rectal surgery.,5329000370005516,6128472720005516
Elsevier ScienceDirect Books Complete,99116703879505516,Evolution of the human brain : from matter to mind /,5341032410005516,6128471490005516
IEEE Electronic Library (IEL) Conference Proceedings,99116709910505516,2008 International Topical Meeting on Microwave Photonics (MWP 2008) jointly held with the 2008 Asia-Pacific Microwave Photonics Conference,5331422890005516,6128472830005516
SpringerLink Journals - AutoHoldings,99116718321005516,Genetic programming and evolvable machines.,5333253430005516,6128470180005516
"Ebook Central Perpetual, DDA and Subscription Titles",99116748608805516,International human resource management : sequential cross cultural training - sociocultural and psychological adjustment /,5337697290005516,6128471720005516
Springer Engineering eBooks 2022 English/International,99116807964705516,Electro-Optic Modulation for Photonic Networks : Precise and High-Speed Control of Lightwaves.,5347244170005516,6143459350005516
American Mathematical Society eBooks,99116710126705516,An infinitesimal approach to stochastic analysis /,5331467430005516,6128473930005516
Materials Science & Engineering Collection,99116711993305516,Air traffic management.,5331883910005516,6128470740005516
EZB-FREE-00999 freely available EZB journals,99116795248205516,Jahresbericht der Landesfachstelle Glücksspielsucht Saarland Berichtszeitraum ...,5345213500005516,6142815690005516
IEEE Electronic Library (IEL) Conference Proceedings,99116720309605516,"International Conference on Power Electronics and Drive Systems Proceedings, 1997",5333677390005516,6128472830005516
EZB-FREE-00999 freely available EZB journals,99116795818305516,Revista Internacional de  Investigación en Ciencias Sociales,5345469400005516,6142815690005516
IEEE Electronic Library (IEL),99116720843905516,"ACED : proceedings 2018 17th International Ural Conference on AC Electric Drives : Ural Federal University named after the first President of Russia B. N. Yeltsin, Ekaterinburg, Russian Federation, March 26-30, 2018 /",5333766360005516,6128473920005516
Springer Energy eBooks 2014 English/International,99116699746405516,Non-technological Innovations for Sustainable Transport Four Transport Case Studies /,5329200650005516,6128470390005516
Springer Computer Science eBooks 2019 English/International,99116706810605516,Transactions on Petri Nets and Other Models of Concurrency XIV,5330755580005516,6128471250005516
Wiley Online Book 2011 to Present,99116806015205516,Modification of seed composition to promote health and nutrition /,5346877440005516,6146764050005516
ACM Digital Library Complete,99116702343605516,Proceedings of the 12th International Symposium on Software Engineering for Adaptive and Self-Managing Systems /,5329775370005516,6128471210005516
EZB-FREE-00999 freely available EZB journals,99116795718505516,Partial differential equations in applied mathematics : a spin-off of Applied Mathematics Letters.,5345446780005516,6142815690005516
de Gruyter eBooks Complete,99116715425205516,"Building with large clay blocks : details, products, built examples /",5332626450005516,6128474060005516
EZB-FREE-00999 freely available EZB journals,99116794105805516,Oradea University. Fascicle of Management and Technological Engineering. Annals,5344910040005516,6142815690005516
Wiley Online Book 2011 to Present,99116805595405516,Human blood groups,5346793100005516,6146764050005516
EZB-FREE-00999 freely available EZB journals,99116790885405516,Festgesang der Waisenkinder in der Pflege-Anstalt des Heilig-Geist-Hospitals zu Fulda zur Feier des Geburtstages Seiner Königlichen Hoheit des Durchlauchtigsten Kurprinz-Mitregenten am ...,5343824280005516,6142815690005516
